country_code,region_name,iata,icao,airport
AR,Cordoba,VDR,SAOD,Villa Dolores Airport
AR,Corrientes,AOL,SARL,Paso de los Libres Airport
AR,Corrientes,CNQ,SARC,Doctor Fernando Piragine Niveyro International Airport
AR,Corrientes,MCS,SARM,Monte Caseros Airport
AR,Corrientes,MDX,SATM,Mercedes Airport
AR,Corrientes,OYA,SATG,Goya Airport
AR,Corrientes,UZU,SATU,Curuzu Cuatia Airport
AR,Entre Rios,COC,SAAC,Comodoro Pierrestegui Airport
AR,Entre Rios,GHU,SAAG,Gualeguaychu Airport
AR,Entre Rios,PRA,SAAP,General Justo Jose de Urquiza Airport
AR,Formosa,CLX,SATC,Clorinda Airport
AR,Formosa,FMA,SARF,Formosa International Airport (El Pucu Airport)
AR,Formosa,LLS,SATK,Alferez Armando Rodriguez Airport
AR,Jujuy,JUJ,SASJ,Gobernador Horacio Guzman International Airport
AR,La Pampa,GPO,SAZG,General Pico Airport
AR,La Pampa,RSA,SAZR,Santa Rosa Airport (Argentina)
AR,La Rioja,IRJ,SANL,Capitan Vicente Almandos Almonacid Airport
AR,Mendoza,AFA,SAMR,San Rafael Airport (Argentina)
AR,Mendoza,LGS,SAMM,Comodoro D. Ricardo Salomon Airport
AR,Mendoza,MDZ,SAME,Gov. Francisco Gabrielli International Airport (El Plumerillo)
AR,Misiones,ELO,SATD,Eldorado Airport
AR,Misiones,IGR,SARI,Cataratas del Iguazu International Airport
AR,Misiones,PSS,SARP,Libertador General Jose de San Martin Airport
AR,Neuquen,APZ,SAHZ,Zapala Airport
AR,Neuquen,CPC,SAZY,Aviador Carlos Campos Airport
AR,Neuquen,CUT,SAZW,Cutral Co Airport
AR,Neuquen,CVH,,Caviahue Airport
AR,Neuquen,HOS,SAHC,Chos Malal Airport
AR,Neuquen,LCP,,Loncopue Airport
AR,Neuquen,NQN,SAZN,Presidente Peron International Air
AR,Neuquen,RDS,SAHS,Rincon de los Sauces Airport
AR,Rio Negro,BRC,SAZS,San Carlos de Bariloche Airport
AR,Rio Negro,CCT,,Colonia Catriel Airport
AR,Rio Negro,EHL,SAVB,El Bolson Airport
AR,Rio Negro,GNR,SAHR,Dr. Arturo Umberto Illia Airport
AR,Rio Negro,IGB,SAVJ,Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport)
AR,Rio Negro,LMD,,Los Menucos Airport
AR,Rio Negro,MQD,SAVQ,Maquinchao Airport
AR,Rio Negro,OES,SAVN,Antoine de Saint Exupery Airport
AR,Rio Negro,SGV,SAVS,Sierra Grande Airport
AR,Rio Negro,VCF,,Valcheta Airport
AR,Rio Negro,VDM,SAVV,Gobernador Edgardo Castello Airport
AR,Salta,ORA,SASO,Oran Air
AR,Salta,SLA,SASA,Martin Miguel de Guemes International Airport
AR,Salta,TTG,SAST,Tartagal Airport
AR,San Juan,UAQ,SANU,Domingo Faustino Sarmiento Airport
AR,San Luis,LUQ,SAOU,Brigadier Mayor Cesar Raul Ojeda Airport
AR,San Luis,RLO,SAOS,Valle del Conlara Airport
AR,San Luis,VME,SAOR,Villa Reynolds Airport
AR,Santa Cruz,CVI,,Caleta Olivia Airport
AR,Santa Cruz,FTE,SAWA,Comandante Armando Tola International Airport
AR,Santa Cruz,GGS,SAWR,Gobernador Gregores Airport
AR,Santa Cruz,LHS,SAVH,Las Heras Airport
AR,Santa Cruz,PMQ,SAWP,Perito Moreno Airport
AR,Santa Cruz,PUD,SAWD,Puerto Deseado Airport
AR,Santa Cruz,RGL,SAWG,Piloto Civil Norberto Fernandez International Airport
AR,Santa Cruz,RYO,SAWT,Rio Turbio Airport
AR,Santa Cruz,RZA,SAWU,Santa Cruz Airport (Argentina)
AR,Santa Cruz,ULA,SAWJ,Capitan Jose Daniel Vazquez Airport
AR,Santa Fe,CRR,SANW,Ceres Airport
AR,Santa Fe,NCJ,SAFS,Sunchales Airport
AR,Santa Fe,RAF,SAFR,Rafaela Airport
AR,Santa Fe,RCQ,SATR,Reconquista Airport
AR,Santa Fe,ROS,SAAR,Rosario - Islas Malvinas International Airport
AR,Santa Fe,SFN,SAAV,Sauce Viejo Airport
AR,Santiago del Estero,RHD,SANR,Termas de Rio Hondo Airport
AR,Santiago del Estero,SDE,SANE,Vicecomodoro Angel de la Paz Aragones Airport
AR,Tierra del Fuego,RGA,SAWE,Hermes Quijada International Airport
AR,Tierra del Fuego,USH,SAWH,Ushuaia - Malvinas Argentinas International Airport
AR,Tucuman,TUC,SANT,Teniente General Benjamin Matienzo International Airport
AS,Eastern District,OFU,NSAS,Ofu Airport
AS,Eastern District,PPG,NSTU,Pago Pago International Airport
AS,Eastern District,TAV,,Tau Airport
AT,Karnten,KLU,LOWK,Klagenfurt Airport
AT,Niederosterreich,VIE,LOWW,Vienna International Airport
AT,Oberosterreich,LNZ,LOWL,Linz Airport (Blue Danube Airport)
AT,Salzburg,SZG,LOWS,Salzburg Airport
AT,Steiermark,GRZ,LOWG,Graz Airport
AT,Tirol,INN,LOWI,Innsbruck Airport (Kranebitten Airport)
AT,Vorarlberg,HOH,LOIH,Hohenems-Dornbirn Airport
AU,Australian Capital Territory,CBR,YSCB,Canberra Airport
AU,New South Wales,ABX,YMAY,Albury Airport
AU,New South Wales,ARM,YARM,Armidale Airport
AU,New South Wales,BEO,YLMQ,Lake Macquarie Airport (Belmont Airport)
AU,New South Wales,BHQ,YBHI,Broken Hill Airport
AU,New South Wales,BHS,YBTH,Bathurst Airport
AU,New South Wales,BNK,YBNA,Ballina Byron Gateway Airport
AU,New South Wales,BRK,YBKE,Bourke Airport
AU,New South Wales,BWQ,YBRW,Brewarrina Airport
AU,New South Wales,BWU,YSBK,Bankstown Airport
AU,New South Wales,BZD,YBRN,Balranald Airport
AU,New South Wales,CAZ,YCBA,Cobar Airport
AU,New South Wales,CBX,YCDO,Condobolin Airport
AU,New South Wales,CDU,YSCN,Camden Airport
AU,New South Wales,CES,YCNK,Cessnock Airport
AU,New South Wales,CFS,YCFS,Coffs Harbour Airport
AU,New South Wales,CLH,YCAH,Coolah Airport
AU,New South Wales,CMD,YCTM,Cootamundra Airport
AU,New South Wales,CNB,YCNM,Coonamble Airport
AU,New South Wales,COJ,YCBB,Coonabarabran Airport
AU,New South Wales,CRB,YCBR,Collarenebri Airport
AU,New South Wales,CSI,YCAS,Casino Airport
AU,New South Wales,CUG,YCUA,Cudal Airport
AU,New South Wales,CWT,YCWR,Cowra Airport
AU,New South Wales,CWW,YCOR,Corowa Airport
AU,New South Wales,DBO,YSDU,Dubbo City Regional Airport
AU,New South Wales,DGE,YMDG,Mudgee Airport
AU,New South Wales,DNQ,YDLQ,Deniliquin Airport
AU,New South Wales,EVH,YEVD,Evans Head Memorial Aerodrome
AU,New South Wales,FLY,YFIL,Finley Airport
AU,New South Wales,FOT,YFST,Forster (Wallis Island) Airport
AU,New South Wales,FRB,YFBS,Forbes Airport
AU,New South Wales,GFE,,Grenfell Airport
AU,New South Wales,GFF,YGTH,Griffith Airport
AU,New South Wales,GFN,YGFN,Clarence Valley Regional Airport
AU,New South Wales,GLI,YGLI,Glen Innes Airport
AU,New South Wales,GOS,YSMB,Somersby Airfield
AU,New South Wales,GUH,YGDH,Gunnedah Airport
AU,New South Wales,GUL,YGLB,Goulburn Airport
AU,New South Wales,HXX,YHAY,Hay Airport
AU,New South Wales,IVR,YIVL,Inverell Airport
AU,New South Wales,KPS,YKMP,Kempsey Airport
AU,New South Wales,LBH,,Palm Beach Water Airport
AU,New South Wales,LDH,YLHI,Lord Howe Island Airport
AU,New South Wales,LHG,YLRD,Lightning Ridge Airport
AU,New South Wales,LSY,YLIS,Lismore Airport
AU,New South Wales,MIM,YMER,Merimbula Airport
AU,New South Wales,MRZ,YMOR,Moree Airport
AU,New South Wales,MTL,YMND,Maitland Airport
AU,New South Wales,MVH,,Macksville Airport
AU,New South Wales,MYA,YMRY,Moruya Airport
AU,New South Wales,NAA,YNBR,Narrabri Airport
AU,New South Wales,NBH,YNHS,Nambucca Heads Airport
AU,New South Wales,NGA,YYNG,Young Airport
AU,New South Wales,NOA,YSNW,NAS Nowra
AU,New South Wales,NRA,YNAR,Narrandera Airport
AU,New South Wales,NSO,YSCO,Scone Airport
AU,New South Wales,NTL,YWLM,Newcastle Airport / RAAF Base Williamtown
AU,New South Wales,NYN,YNYN,Nyngan Airport
AU,New South Wales,OAG,YORG,Orange Airport
AU,New South Wales,OOM,YCOM,Cooma-Snowy Mountains Airport
AU,New South Wales,PKE,YPKS,Parkes Airport
AU,New South Wales,PQQ,YPMQ,Port Macquarie Airport
AU,New South Wales,RSE,,Rose Bay Water Airport
AU,New South Wales,SIX,YSGT,Singleton Airport
AU,New South Wales,SYD,YSSY,Sydney Airport (Kingsford Smith Airport)
AU,New South Wales,TCW,YTOC,Tocumwal Airport
AU,New South Wales,TEM,YTEM,Temora Airport
AU,New South Wales,TMW,YSTW,Tamworth Regional Airport
AU,New South Wales,TRO,YTRE,Taree Airport
AU,New South Wales,TUM,YTMU,Tumut Airport
AU,New South Wales,TYB,YTIB,Tibooburra Airport
AU,New South Wales,UIR,YQDI,Quirindi Airport
AU,New South Wales,WAU,,Wauchope Airport
AU,New South Wales,WEW,YWWA,Wee Waa Airport
AU,New South Wales,WGA,YSWG,Wagga Wagga Airport
AU,New South Wales,WGE,YWLG,Walgett Airport
AU,New South Wales,WIO,YWCA,Wilcannia Airport
AU,New South Wales,WLC,YWCH,Walcha Airport
AU,New South Wales,WOL,YWOL,Illawarra Regional Airport
AU,New South Wales,WWY,YWWL,West Wyalong Airport
AU,New South Wales,XRH,YSRI,RAAF Base Richmond
AU,Northern Territory,AMX,,Ammaroo Airport
AU,Northern Territory,ANZ,,Angus Downs Airport
AU,Northern Territory,ASP,YBAS,Alice Springs Airport
AU,Northern Territory,AVG,YAUV,Auvergne Airport
AU,Northern Territory,AWP,,Austral Downs Airport
AU,Northern Territory,AXL,YALX,Alexandria Homestead Airport
AU,Northern Territory,AYD,,Alroy Downs Airport
AU,Northern Territory,AYL,,Anthony Lagoon Airport
AU,Northern Territory,AYQ,YAYE,Ayers Rock Airport
AU,Northern Territory,BCZ,,Bickerton Island Airport
AU,Northern Territory,BOX,YBRL,Borroloola Airport
AU,Northern Territory,BRT,YBTI,Bathurst Island Airport
AU,Northern Territory,BTD,,Brunette Downs Airport
AU,Northern Territory,BYX,,Baniyala Airport
AU,Northern Territory,CDA,YCOO,Cooinda Airport
AU,Northern Territory,CFI,YCFD,Camfield Airport
AU,Northern Territory,CKI,YCKI,Croker Island Airport
AU,Northern Territory,COB,,Coolibah Airport
AU,Northern Territory,CSD,,Cresswell Downs Airport
AU,Northern Territory,CTR,,Cattle Creek Airport
AU,Northern Territory,DKV,YDVR,Docker River Airport
AU,Northern Territory,DLV,YDLV,Delissaville Airport
AU,Northern Territory,DRW,YPDN,Darwin International Airport
AU,Northern Territory,DVR,,Daly River Airport
AU,Northern Territory,DYW,,Daly Waters Airport
AU,Northern Territory,EDD,,Erldunda Airport
AU,Northern Territory,EKD,,Elkedra Airport
AU,Northern Territory,ELC,YELD,Elcho Island Airport
AU,Northern Territory,EVD,,Eva Downs Airport
AU,Northern Territory,FIK,YFNE,Finke Airport
AU,Northern Territory,GBL,YGBI,South Goulburn Island Airport
AU,Northern Territory,GOV,YPGV,Gove Airport
AU,Northern Territory,GPN,YGPT,Garden Point Airport
AU,Northern Territory,GTE,YGTE,Groote Eylandt Airport
AU,Northern Territory,GTS,YTGT,The Granites Airport
AU,Northern Territory,HMG,YHMB,Hermannsburg Airport
AU,Northern Territory,HOK,YHOO,Hooker Creek Airport
AU,Northern Territory,HRY,YHBY,Henbury Airport
AU,Northern Territory,HUB,YHBR,Humbert River Airport
AU,Northern Territory,IVW,YINW,Inverway Airport
AU,Northern Territory,JAB,YJAB,Jabiru Airport
AU,Northern Territory,KBB,,Kirkimbie Airport
AU,Northern Territory,KBJ,YKCA,Kings Canyon Airport
AU,Northern Territory,KCS,YKCS,Kings Creek Station Airport
AU,Northern Territory,KFG,YKKG,Kalkgurung Airport
AU,Northern Territory,KGR,,Kulgera Airport
AU,Northern Territory,KRD,,Kurundi Airport
AU,Northern Territory,KTR,YPTN,RAAF Base Tindal
AU,Northern Territory,LEL,YLEV,Lake Evella Airport
AU,Northern Territory,LIB,,Limbunya Airport
AU,Northern Territory,LNH,YLKN,Lake Nash Airport
AU,Northern Territory,MCV,YMHU,McArthur River Mine Airport
AU,Northern Territory,MFP,YMCR,Manners Creek Airport
AU,Northern Territory,MGT,YMGB,Milingimbi Airport
AU,Northern Territory,MIY,,Mittiebah Airport
AU,Northern Territory,MIZ,,Mainoru Airport
AU,Northern Territory,MKV,YMVG,Mount Cavenagh Airport
AU,Northern Territory,MNG,YMGD,Maningrida Airport
AU,Northern Territory,MNV,,Mount Valley Airport
AU,Northern Territory,MNW,YMDS,MacDonald Downs Airport
AU,Northern Territory,MQE,YMQA,Marqua Airport
AU,Northern Territory,MRT,,Moroak Airport
AU,Northern Territory,MSF,YMNS,Mount Swan Airport
AU,Northern Territory,MTD,YMSF,Mount Sandford Station Airport
AU,Northern Territory,MUP,YMUP,Mulga Park Airport
AU,Northern Territory,NPP,,Napperby Airport
AU,Northern Territory,NRY,,Newry Airport
AU,Northern Territory,NUB,YNUM,Numbulwar Airport
AU,Northern Territory,PEP,,Peppimenarti Airport
AU,Northern Territory,PKT,YKPT,Port Keats Airfield
AU,Northern Territory,RAM,YRNG,Ramingining Airport
AU,Northern Territory,RDA,YRKD,Rockhampton Downs Airport
AU,Northern Territory,RPB,YRRB,Roper Bar Airport
AU,Northern Territory,RPM,YNGU,Ngukurr Airport
AU,Northern Territory,RPV,,Roper Valley Airport
AU,Northern Territory,RRV,,Robinson River Airport (Northern Territory)
AU,Northern Territory,SHU,YSMP,Smith Point Airport
AU,Northern Territory,SNB,YSNB,Snake Bay Airport
AU,Northern Territory,TBK,YTBR,Timber Creek Airport
AU,Northern Territory,TCA,YTNK,Tennant Creek Airport
AU,Northern Territory,TYP,YTMY,Tobermorey Airport
AU,Northern Territory,UTD,,Nutwood Downs Airport
AU,Northern Territory,VCD,YVRD,Victoria River Downs Airport
AU,Northern Territory,WAV,YWAV,Wave Hill Airport
AU,Northern Territory,WLL,YWOR,Wollogorang Airport
AU,Northern Territory,WLO,YWTL,Waterloo Airport
AU,Northern Territory,YUE,YYND,Yuendumu Airport
AU,Queensland,AAB,YARY,Arrabury Airport
AU,Queensland,ABG,YABI,Abingdon Airport
AU,Queensland,ABH,YAPH,Alpha Airport
AU,Queensland,ABM,YNPE,Northern Peninsula Airport
AU,Queensland,AGW,,Agnew Airport
AU,Queensland,AUD,YAGD,Augustus Downs Airport
AU,Queensland,AUU,YAUR,Aurukun Airport
AU,Queensland,AXC,YAMC,Aramac Airport
AU,Queensland,AYR,YAYR,Ayr Airport
AU,Queensland,BBL,YLLE,Ballera Airport
AU,Queensland,BCI,YBAR,Barcaldine Airport
AU,Queensland,BCK,,Bolwarra Airport
AU,Queensland,BDB,YBUD,Bundaberg Airport
AU,Queensland,BDD,YBAU,Badu Island Airport
AU,Queensland,BEU,YBIE,Bedourie Airport
AU,Queensland,BFC,,Bloomfield Airport
AU,Queensland,BHT,,Brighton Downs Airport
AU,Queensland,BIP,,Bulimba Airport
AU,Queensland,BKP,YBAW,Barkly Downs Airport
AU,Queensland,BKQ,YBCK,Blackall Airport
AU,Queensland,BLS,YBLL,Bollon Airport
AU,Queensland,BLT,YBTR,Blackwater Airport
AU,Queensland,BMP,YBPI,Brampton Island Airport
AU,Queensland,BNE,YBBN,Brisbane Airport
AU,Queensland,BQL,YBOU,Boulia Airport
AU,Queensland,BTX,YBEO,Betoota Airport
AU,Queensland,BUC,YBKT,Burketown Airport
AU,Queensland,BVI,YBDV,Birdsville Airport
AU,Queensland,BVW,,Batavia Downs Airport
AU,Queensland,BZP,,Bizant Airport
AU,Queensland,CBY,,Canobie Airport
AU,Queensland,CCL,YCCA,Chinchilla Airport
AU,Queensland,CDQ,YCRY,Croydon Airport
AU,Queensland,CFP,,Carpentaria Downs Airport
AU,Queensland,CMA,YCMU,Cunnamulla Airport
AU,Queensland,CML,YCMW,Camooweal Airport
AU,Queensland,CMQ,YCMT,Clermont Airport
AU,Queensland,CNC,YCCT,Coconut Island Airport
AU,Queensland,CNJ,YCCY,Cloncurry Airport
AU,Queensland,CNS,YBCS,Cairns Airport
AU,Queensland,CQP,,Cape Flattery Airport
AU,Queensland,CRH,,Cherrabah Airport
AU,Queensland,CTL,YBCV,Charleville Airport
AU,Queensland,CTN,YCKN,Cooktown Airport
AU,Queensland,CUD,YCDR,Caloundra Airport
AU,Queensland,CUQ,YCOE,Coen Airport
AU,Queensland,CXT,YCHT,Charters Towers Airport
AU,Queensland,CZY,YUNY,Cluny Airport
AU,Queensland,DBY,YDAY,Dalby Airport
AU,Queensland,DDN,YDLT,Delta Downs Airport
AU,Queensland,DFP,,Drumduff Airport
AU,Queensland,DHD,YDRH,Durham Downs Airport
AU,Queensland,DKI,YDKI,Dunk Island Airport
AU,Queensland,DMD,YDMG,Doomadgee Airport
AU,Queensland,DNB,YDBR,Dunbar Airport
AU,Queensland,DRD,YDOR,Dorunda Airport
AU,Queensland,DRN,YDBI,Dirranbandi Airport
AU,Queensland,DRR,YDRI,Durrie Airport
AU,Queensland,DVP,YDPD,Davenport Downs Airport
AU,Queensland,DXD,YDIX,Dixie Airport
AU,Queensland,DYA,YDYS,Dysart Airport
AU,Queensland,DYM,,Diamantina Lakes Airport
AU,Queensland,EDR,YPMP,Edward River Airport
AU,Queensland,EIH,,Einasleigh Airport
AU,Queensland,EMD,YEML,Emerald Airport
AU,Queensland,ERQ,YESE,Elrose Airport
AU,Queensland,GAH,YGAY,Gayndah Airport
AU,Queensland,GBP,YGAM,Gamboola Airport
AU,Queensland,GGD,YGDS,Gregory Downs Airport
AU,Queensland,GIC,YBOI,Boigu Island Airport
AU,Queensland,GKL,YGKL,Great Keppel Island Airport
AU,Queensland,GLG,YGLE,Glengyle Airport
AU,Queensland,GLM,YGLO,Glenormiston Airport
AU,Queensland,GLT,YGLA,Gladstone Airport
AU,Queensland,GOO,YGDI,Goondiwindi Airport
AU,Queensland,GPD,YGON,Mount Gordon Airport
AU,Queensland,GTT,YGTN,Georgetown Airport
AU,Queensland,GVP,YGNV,Greenvale Airport
AU,Queensland,GYP,YGYM,Gympie Airport
AU,Queensland,HAT,YHTL,Heathlands Airport
AU,Queensland,HGD,YHUG,Hughenden Airport
AU,Queensland,HID,YHID,Horn Island Airport
AU,Queensland,HIG,YHHY,Highbury Airport
AU,Queensland,HIP,YHDY,Headingly Airport
AU,Queensland,HLV,,Helenvale Airport
AU,Queensland,HPE,,Hopevale Airport
AU,Queensland,HTI,YBHM,Great Barrier Reef Airport
AU,Queensland,HVB,YHBA,Hervey Bay Airport
AU,Queensland,IFF,YIFY,Iffley Airport
AU,Queensland,IFL,YIFL,Innisfail Airport
AU,Queensland,IGH,YIGM,Ingham Airport
AU,Queensland,IKP,YIKM,Inkerman Airport
AU,Queensland,INJ,YINJ,Injune Airport
AU,Queensland,IRG,YLHR,Lockhart River Airport
AU,Queensland,ISA,YBMA,Mount Isa Airport
AU,Queensland,ISI,YISF,Isisford Airport
AU,Queensland,JCK,YJLC,Julia Creek Airport
AU,Queensland,JUN,YJDA,Jundah Airport
AU,Queensland,KCE,YCSV,Collinsville Airport
AU,Queensland,KDS,,Kamaran Downs Airport
AU,Queensland,KGY,YKRY,Kingaroy Airport
AU,Queensland,KKP,YKLB,Koolburra Airport
AU,Queensland,KML,YKML,Kamileroi Airport
AU,Queensland,KOH,YKLA,Koolatah Airport
AU,Queensland,KPP,YKPR,Kalpowar Airport
AU,Queensland,KRB,YKMB,Karumba Airport
AU,Queensland,KSV,YSPV,Springvale Airport
AU,Queensland,KUG,YKUB,Kubin Airport
AU,Queensland,KWM,YKOW,Kowanyama Airport
AU,Queensland,LDC,YLIN,Lindeman Island Airport
AU,Queensland,LFP,YLFD,Lakefield Airport
AU,Queensland,LKD,YLND,Lakeland Downs Airport
AU,Queensland,LLG,YCGO,Chillagoe Airport
AU,Queensland,LLP,,Linda Downs Airport
